date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:57	1160309/1160309	---M--	200	added ('OK')	image/gif	etag:%225fd79f31-11b475%22	http://srinivasan.design/images/case2/Fx.gif	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/Fx.gif	(from http://srinivasan.design/Zoho%20Sheet.html)
15:59:20	627225/627225	---M--	200	added ('OK')	image/png	etag:%225fd79f31-99219%22	http://srinivasan.design/images/case2/iMESSAGE.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/iMESSAGE.png	(from http://srinivasan.design/Zoho%20Sheet.html)
16:01:12	685158/685158	---M--	200	added ('OK')	image/png	etag:%225fd79f31-a7466%22	http://srinivasan.design/images/case2/Android1.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/Android1.png	(from http://srinivasan.design/Zoho%20Sheet.html)
16:02:38	1358197/1358197	---M--	200	added ('OK')	image/png	etag:%225fd79f31-14b975%22	http://srinivasan.design/images/case2/Splitview.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/Splitview.png	(from http://srinivasan.design/Zoho%20Sheet.html)
16:02:46	1522348/1522348	---M--	200	added ('OK')	image/png	etag:%225fd79f31-173aac%22	http://srinivasan.design/images/case2/3d%20touch.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/3d%20touch.png	(from http://srinivasan.design/Zoho%20Sheet.html)
16:03:01	89453/89453	---M--	200	added ('OK')	image/png	etag:%225fd79f31-15d6d%22	http://srinivasan.design/images/case2/Zohoone.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/Zohoone.png	(from http://srinivasan.design/Zoho%20Sheet.html)
16:03:32	866179/866179	---M--	200	added ('OK')	image/png	etag:%225fd79f31-d3783%22	http://srinivasan.design/images/case2/Android2.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/Android2.png	(from http://srinivasan.design/Zoho%20Sheet.html)
16:04:04	528699/528699	---M--	200	added ('OK')	image/png	etag:%225fd79f31-8113b%22	http://srinivasan.design/images/case2/impact.png	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/case2/impact.png	(from http://srinivasan.design/Zoho%20Sheet.html)
16:05:48	830292/830292	---M--	200	added ('OK')	video/mp4	etag:%225fd79f31-cab54%22	http://srinivasan.design/images/comment.mp4	C:/My%20Web%20Sites/Portfolio/srinivasan.design/images/comment.mp4	(from http://srinivasan.design/Zoho%20Sheet.html)
16:05:49	9339/9339	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%225f5fce75-247b%22	http://srinivasan.design/Resume_srinivasan.pdf	C:/My%20Web%20Sites/Portfolio/srinivasan.design/Resume_srinivasan.52.delayed	(from http://srinivasan.design/Holachef.html)
